"","Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
"700",2014-01-03,99.73,99.73,99.73,99.73,20,3023
"701",2014-01-02,99.725,99.725,99.725,99.725,13,3010
"702",2013-12-30,99.73,99.73,99.73,99.73,0,3010
"703",2013-12-27,99.72,99.72,99.72,99.725,64,2950
"704",2013-12-24,99.71,99.71,99.71,99.71,0,2950
"705",2013-12-23,99.715,99.715,99.715,99.71,4,2950
"706",2013-12-20,99.72,99.72,99.72,99.71,2,2948
"707",2013-12-19,99.73,99.73,99.73,99.725,1,2947
"708",2013-12-18,99.705,99.705,99.705,99.705,301,2651
"709",2013-12-17,99.66,99.685,99.66,99.68,253,2596
"710",2013-12-16,99.71,99.71,99.71,99.71,0,2963
"711",2013-12-13,99.71,99.71,99.71,99.71,0,2963
"712",2013-12-12,99.71,99.72,99.71,99.71,5013,5310
"713",2013-12-11,99.725,99.73,99.725,99.72,6,5305
"714",2013-12-10,99.725,99.725,99.725,99.725,3,5305
"715",2013-12-09,99.73,99.73,99.73,99.73,0,5305
"716",2013-12-06,99.735,99.75,99.735,99.73,5475,2673
"717",2013-12-05,99.75,99.75,99.75,99.74,597,2217
"718",2013-12-04,99.76,99.76,99.75,99.755,16,2209
"719",2013-12-03,99.755,99.76,99.755,99.755,63,2271
"720",2013-12-02,99.76,99.76,99.76,99.76,0,2271
"721",2013-11-29,99.76,99.76,99.76,99.76,0,2271
"722",2013-11-28,99.76,99.76,99.76,99.76,90,2361
"723",2013-11-27,99.76,99.76,99.76,99.76,0,2361
"724",2013-11-26,99.76,99.76,99.76,99.76,0,2361
"725",2013-11-25,99.76,99.76,99.76,99.76,0,2361
"726",2013-11-22,99.76,99.76,99.76,99.76,0,2361
"727",2013-11-21,99.78,99.78,99.78,99.78,6,2363
"728",2013-11-20,99.78,99.78,99.78,99.78,2042,2546
"729",2013-11-19,99.78,99.78,99.78,99.77,5944,7413
"730",2013-11-18,99.78,99.78,99.78,99.78,50,7413
"731",2013-11-15,99.78,99.78,99.78,99.78,80,7493
"732",2013-11-14,99.79,99.79,99.78,99.78,13,7485
"733",2013-11-13,99.78,99.78,99.78,99.78,126,7589
"734",2013-11-12,99.78,99.78,99.78,99.78,2,7589
"735",2013-11-11,99.78,99.78,99.78,99.78,16,7573
"736",2013-11-08,99.78,99.785,99.78,99.785,16,7589
"737",2013-11-07,99.795,99.795,99.79,99.79,22,7589
"738",2013-11-06,99.76,99.765,99.76,99.765,24,7573
"739",2013-11-05,99.765,99.765,99.765,99.765,300,7597
"740",2013-11-04,99.77,99.775,99.77,99.77,17,7597
"741",2013-11-01,99.77,99.78,99.77,99.77,430,7589
"742",2013-10-31,99.76,99.76,99.76,99.76,1,7413
"743",2013-10-30,99.745,99.745,99.74,99.74,1,7413
"744",2013-10-29,99.735,99.735,99.735,99.735,95,7413
"745",2013-10-28,99.73,99.73,99.73,99.73,1,7413
"746",2013-10-25,99.735,99.735,99.73,99.73,1,7413
"747",2013-10-24,99.74,99.74,99.735,99.735,16,7413
"748",2013-10-23,99.745,99.75,99.745,99.745,21,7413
"749",2013-10-22,99.74,99.75,99.74,99.745,76,7397
"750",2013-10-21,99.735,99.74,99.735,99.74,50,7402
"751",2013-10-18,99.745,99.745,99.74,99.74,18,7402
"752",2013-10-17,99.74,99.74,99.74,99.74,39,7402
"753",2013-10-16,99.725,99.73,99.725,99.73,412,7402
"754",2013-10-15,99.73,99.73,99.73,99.73,25,7068
"755",2013-10-14,99.72,99.72,99.72,99.72,17,7068
"756",2013-10-11,99.72,99.72,99.72,99.72,0,7068
"757",2013-10-10,99.71,99.72,99.71,99.72,17,7068
"758",2013-10-09,99.72,99.72,99.705,99.705,1,7068
"759",2013-10-08,99.725,99.725,99.71,99.715,100,7068
"760",2013-10-07,99.735,99.735,99.735,99.735,9,7068
"761",2013-10-04,99.735,99.735,99.73,99.73,76,7085
"762",2013-10-03,99.74,99.74,99.74,99.74,4,7077
"763",2013-10-02,99.74,99.74,99.735,99.735,24,7077
"764",2013-10-01,99.735,99.735,99.735,99.735,0,7077
"765",2013-09-30,99.725,99.73,99.725,99.73,2,7077
"766",2013-09-27,99.73,99.73,99.73,99.73,0,7077
"767",2013-09-26,99.73,99.73,99.73,99.73,0,7077
"768",2013-09-25,99.725,99.73,99.725,99.73,7,7077
"769",2013-09-24,99.735,99.735,99.735,99.735,0,7077
"770",2013-09-23,99.73,99.73,99.73,99.73,60,7077
"771",2013-09-20,99.735,99.735,99.725,99.725,1832,7077
"772",2013-09-19,99.735,99.735,99.73,99.73,5561,5288
"773",2013-09-18,99.725,99.725,99.72,99.72,5,2111
"774",2013-09-17,99.73,99.73,99.725,99.725,5,2114
"775",2013-09-16,99.78,99.78,99.78,99.78,6,8818
"776",2013-09-13,99.775,99.78,99.775,99.78,6,8824
"777",2013-09-12,99.775,99.775,99.775,99.775,0,8824
"778",2013-09-11,99.775,99.775,99.775,99.775,4,8824
"779",2013-09-10,99.775,99.775,99.775,99.775,34,8824
"780",2013-09-09,99.77,99.775,99.77,99.775,34,8824
"781",2013-09-06,99.77,99.77,99.77,99.77,214,8824
"782",2013-09-05,99.775,99.775,99.76,99.77,19,8824
"783",2013-09-04,99.77,99.775,99.77,99.775,2,8822
"784",2013-09-03,99.77,99.775,99.765,99.77,777,8726
"785",2013-09-02,99.77,99.77,99.765,99.77,113,8726
"786",2013-08-30,99.77,99.77,99.77,99.77,83,8872
"787",2013-08-29,99.77,99.77,99.765,99.765,55,8874
"788",2013-08-28,99.765,99.765,99.765,99.765,63,8872
"789",2013-08-27,99.765,99.765,99.765,99.765,4,8872
"790",2013-08-26,99.765,99.765,99.765,99.765,1,8872
"791",2013-08-23,99.755,99.755,99.755,99.755,2,8872
"792",2013-08-22,99.76,99.76,99.76,99.76,2,8872
"793",2013-08-21,99.76,99.76,99.755,99.755,23,8872
"794",2013-08-20,99.76,99.76,99.755,99.755,15,8873
"795",2013-08-19,99.755,99.755,99.755,99.755,0,8873
"796",2013-08-16,99.755,99.755,99.755,99.755,0,8873
"797",2013-08-15,99.75,99.75,99.75,99.75,0,8873
"798",2013-08-14,99.755,99.755,99.755,99.755,0,8873
"799",2013-08-13,99.745,99.745,99.745,99.745,0,8873
"800",2013-08-12,99.76,99.76,99.76,99.76,0,8873
"801",2013-08-09,99.76,99.76,99.76,99.76,3,8873
"802",2013-08-08,99.755,99.755,99.755,99.755,50,8873
"803",2013-08-07,99.755,99.755,99.755,99.755,0,8873
"804",2013-08-06,99.755,99.755,99.755,99.755,50,8873
"805",2013-08-05,99.755,99.755,99.755,99.755,8602,8873
"806",2013-08-02,99.755,99.755,99.755,99.755,0,8873
"807",2013-08-01,99.765,99.765,99.76,99.76,8602,8873
"808",2013-07-31,99.755,99.755,99.755,99.755,0,2462
"809",2013-07-30,99.755,99.755,99.755,99.755,5,2462
"810",2013-07-29,99.755,99.755,99.75,99.75,2,2457
"811",2013-07-26,99.75,99.75,99.75,99.75,0,2455
"812",2013-07-25,99.75,99.75,99.75,99.75,0,2455
"813",2013-07-24,99.735,99.735,99.735,99.735,18,2455
"814",2013-07-23,99.735,99.735,99.735,99.735,174,2437
"815",2013-07-22,99.745,99.745,99.745,99.745,0,2437
"816",2013-07-19,99.765,99.765,99.755,99.755,174,2437
"817",2013-07-18,99.765,99.765,99.765,99.765,0,2427
"818",2013-07-17,99.755,99.755,99.755,99.755,0,2427
"819",2013-07-16,99.755,99.755,99.755,99.755,0,2427
"820",2013-07-15,99.75,99.75,99.75,99.75,0,2427
"821",2013-07-12,99.75,99.75,99.75,99.75,23,2427
"822",2013-07-11,99.75,99.75,99.75,99.75,23,2427
"823",2013-07-10,99.76,99.76,99.76,99.76,0,2427
"824",2013-07-09,99.77,99.77,99.77,99.77,0,2427
"825",2013-07-08,99.78,99.78,99.775,99.775,258,2427
"826",2013-07-05,99.77,99.775,99.77,99.775,1,2171
"827",2013-07-04,99.76,99.765,99.76,99.765,40,2170
"828",2013-07-03,99.725,99.725,99.725,99.725,10,2140
